"color_cluster_list","mean_gain_list","violation_found_list","demographic_list","demographic_sums","demographic_gain_list"
"blue","NaN","0","White",0,NA
"blue","NaN","0","Black",0,NA
"blue","NaN","0","Asian",0,NA
"blue","NaN","0","Hispanic",0,NA
"blue","NaN","0","American_Indian",0,NA
"blue","NaN","0","Others",0,NA
"orange","-0.153846153846154","39","White",16.5041331239254,-3.12239507455793
"orange","-0.153846153846154","39","Black",7.28126729161815,-10.6056899868173
"orange","-0.153846153846154","39","Asian",3.51046160920004,-7.43078823430295
"orange","-0.153846153846154","39","Hispanic",10.6507827069774,14.8547626672409
"orange","-0.153846153846154","39","American_Indian",0.0272879932829555,39
"orange","-0.153846153846154","39","Others",1.0260672749961,-10.1731113741182
"brown","NaN","0","White",0,NA
"brown","NaN","0","Black",0,NA
"brown","NaN","0","Asian",0,NA
"brown","NaN","0","Hispanic",0,NA
"brown","NaN","0","American_Indian",0,NA
"brown","NaN","0","Others",0,NA
"yellow","NaN","0","White",0,NA
"yellow","NaN","0","Black",0,NA
"yellow","NaN","0","Asian",0,NA
"yellow","NaN","0","Hispanic",0,NA
"yellow","NaN","0","American_Indian",0,NA
"yellow","NaN","0","Others",0,NA
"green","NaN","0","White",0,NA
"green","NaN","0","Black",0,NA
"green","NaN","0","Asian",0,NA
"green","NaN","0","Hispanic",0,NA
"green","NaN","0","American_Indian",0,NA
"green","NaN","0","Others",0,NA
"purple","NaN","0","White",0,NA
"purple","NaN","0","Black",0,NA
"purple","NaN","0","Asian",0,NA
"purple","NaN","0","Hispanic",0,NA
"purple","NaN","0","American_Indian",0,NA
"purple","NaN","0","Others",0,NA
"all","-0.153846153846154","39","White",16.5041331239254,-3.12239507455793
"all","-0.153846153846154","39","Black",7.28126729161815,-10.6056899868173
"all","-0.153846153846154","39","Asian",3.51046160920004,-7.43078823430295
"all","-0.153846153846154","39","Hispanic",10.6507827069774,14.8547626672409
"all","-0.153846153846154","39","American_Indian",0.0272879932829555,39
"all","-0.153846153846154","39","Others",1.0260672749961,-10.1731113741182
