"color_cluster_list","mean_gain_list","violation_found_list","demographic_list","demographic_sums","demographic_gain_list"
"blue","21.8222222222222","45","White",16.7221700340372,14.90323797018
"blue","21.8222222222222","45","Black",16.1325559780962,31.5569793277123
"blue","21.8222222222222","45","Asian",2.97227567541403,17.3879389041859
"blue","21.8222222222222","45","Hispanic",7.97533852999265,18.7043354853034
"blue","21.8222222222222","45","American_Indian",0.0762463343108504,10.5
"blue","21.8222222222222","45","Others",1.1214134481491,19.6493481532143
"orange","32.7037037037037","27","White",9.67150988473854,35.3868296663469
"orange","32.7037037037037","27","Black",8.00515953995718,34.2310634224605
"orange","32.7037037037037","27","Asian",2.36801783226592,32.4250967342806
"orange","32.7037037037037","27","Hispanic",6.09386814635488,26.0920193706112
"orange","32.7037037037037","27","American_Indian",0,NA
"orange","32.7037037037037","27","Others",0.86144459668348,35.9236917800103
"brown","1","1","White",0.184590690208668,1
"brown","1","1","Black",0,NA
"brown","1","1","Asian",0.0200642054574639,1
"brown","1","1","Hispanic",0.785714285714286,1
"brown","1","1","American_Indian",0.00963081861958266,1
"brown","1","1","Others",0,NA
"yellow","NaN","0","White",0,NA
"yellow","NaN","0","Black",0,NA
"yellow","NaN","0","Asian",0,NA
"yellow","NaN","0","Hispanic",0,NA
"yellow","NaN","0","American_Indian",0,NA
"yellow","NaN","0","Others",0,NA
"green","22.7142857142857","21","White",8.17714930944302,18.6316673961489
"green","22.7142857142857","21","Black",2.17260741261597,15.8527328220239
"green","22.7142857142857","21","Asian",1.96248152263515,18.2681666947557
"green","22.7142857142857","21","Hispanic",8.22772779318925,30.0577987020192
"green","22.7142857142857","21","American_Indian",0.0439432776053338,11.9720335335515
"green","22.7142857142857","21","Others",0.416090684511279,15.6694044219812
"purple","32.75","20","White",11.6042923890239,32.9987458054794
"purple","32.75","20","Black",3.01779179581678,33.0906652932995
"purple","32.75","20","Asian",2.21404691646503,32.4463771543002
"purple","32.75","20","Hispanic",2.74091647752172,31.7645829155297
"purple","32.75","20","American_Indian",0.0898296450438816,29.1530510538944
"purple","32.75","20","Others",0.33312277612869,32.0947395261123
"all","13.6052631578947","114","White",46.3597123074513,11.9516076882616
"all","13.6052631578947","114","Black",29.3281147264861,12.2565275108707
"all","13.6052631578947","114","Asian",9.5368861522376,13.143973788357
"all","13.6052631578947","114","Hispanic",25.8235652327728,18.320604498613
"all","13.6052631578947","114","American_Indian",0.219650075579649,8.90021298575998
"all","13.6052631578947","114","Others",2.73207150547255,13.5630496723749
"all color","13.6052631578947","114","blue",45,6.35555555555556
"all color","13.6052631578947","114","orange",27,21.7037037037037
"all color","13.6052631578947","114","brown",1,45
"all color","13.6052631578947","114","yellow",0,NA
"all color","13.6052631578947","114","green",21,28.7142857142857
"all color","13.6052631578947","114","purple",20,1.55
"default","26.1491228070175","114","White",46.3597123074513,26.9285880958444
"default","26.1491228070175","114","Black",29.3281147264861,22.2242316921474
"default","26.1491228070175","114","Asian",9.5368861522376,29.3711138632945
"default","26.1491228070175","114","Hispanic",25.8235652327728,27.6749904141155
"default","26.1491228070175","114","American_Indian",0.219650075579649,33.1437039586405
"default","26.1491228070175","114","Others",2.73207150547255,28.8234329388251
"default color","26.1491228070175","114","blue",45,23.5333333333333
"default color","26.1491228070175","114","orange",27,31.4444444444444
"default color","26.1491228070175","114","brown",1,1
"default color","26.1491228070175","114","yellow",0,NA
"default color","26.1491228070175","114","green",21,25.5714285714286
"default color","26.1491228070175","114","purple",20,26.75
