"color_cluster_list","mean_gain_list","violation_found_list","demographic_list","demographic_sums","demographic_gain_list"
"blue","NaN","0","White",0,NA
"blue","NaN","0","Black",0,NA
"blue","NaN","0","Asian",0,NA
"blue","NaN","0","Hispanic",0,NA
"blue","NaN","0","American_Indian",0,NA
"blue","NaN","0","Others",0,NA
"orange","NaN","0","White",0,NA
"orange","NaN","0","Black",0,NA
"orange","NaN","0","Asian",0,NA
"orange","NaN","0","Hispanic",0,NA
"orange","NaN","0","American_Indian",0,NA
"orange","NaN","0","Others",0,NA
"brown","NaN","0","White",0,NA
"brown","NaN","0","Black",0,NA
"brown","NaN","0","Asian",0,NA
"brown","NaN","0","Hispanic",0,NA
"brown","NaN","0","American_Indian",0,NA
"brown","NaN","0","Others",0,NA
"yellow","NaN","0","White",0,NA
"yellow","NaN","0","Black",0,NA
"yellow","NaN","0","Asian",0,NA
"yellow","NaN","0","Hispanic",0,NA
"yellow","NaN","0","American_Indian",0,NA
"yellow","NaN","0","Others",0,NA
"green","-3.20833333333333","48","White",24.3747302982016,1.76816594036491
"green","-3.20833333333333","48","Black",5.96842077472676,1.19757237428898
"green","-3.20833333333333","48","Asian",3.22370207986319,3.62735477860257
"green","-3.20833333333333","48","Hispanic",13.5430843375327,-15.5828951815584
"green","-3.20833333333333","48","American_Indian",0.086129230432771,12.4505213314495
"green","-3.20833333333333","48","Others",0.803933279243009,-7.42796101263478
"purple","NaN","0","White",0,NA
"purple","NaN","0","Black",0,NA
"purple","NaN","0","Asian",0,NA
"purple","NaN","0","Hispanic",0,NA
"purple","NaN","0","American_Indian",0,NA
"purple","NaN","0","Others",0,NA
"all","-3.20833333333333","48","White",24.3747302982016,1.76816594036491
"all","-3.20833333333333","48","Black",5.96842077472676,1.19757237428898
"all","-3.20833333333333","48","Asian",3.22370207986319,3.62735477860257
"all","-3.20833333333333","48","Hispanic",13.5430843375327,-15.5828951815584
"all","-3.20833333333333","48","American_Indian",0.086129230432771,12.4505213314495
"all","-3.20833333333333","48","Others",0.803933279243009,-7.42796101263478
